Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[5/15/1997, 0.121875, 0.125, 0.096354, 0.097917, 0.097917,1443120000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/16/1997, 0.098438, 0.098958, 0.085417, 0.086458, 0.086458,294000000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/19/1997, 0.088021, 0.088542, 0.08125, 0.085417, 0.085417,122136000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/20/1997, 0.086458, 0.0875, 0.081771, 0.081771, 0.081771,109344000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/21/1997, 0.081771, 0.082292, 0.06875, 0.071354, 0.071354,377064000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/22/1997, 0.071875, 0.072396, 0.065625, 0.069792, 0.069792,235536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/23/1997, 0.070313, 0.076042, 0.066667, 0.075, 0.075,318744000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/27/1997, 0.075521, 0.082292, 0.072917, 0.079167, 0.079167,173952000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/28/1997, 0.08125, 0.081771, 0.076563, 0.076563, 0.076563,91488000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/29/1997, 0.077083, 0.077083, 0.073958, 0.07526, 0.07526,69456000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[5/30/1997, 0.075, 0.075521, 0.073958, 0.075, 0.075,51888000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/2/1997, 0.075521, 0.076563, 0.075, 0.075521, 0.075521,11832000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/3/1997, 0.076563, 0.076563, 0.073958, 0.073958, 0.073958,23664000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/4/1997, 0.073958, 0.074479, 0.069792, 0.070833, 0.070833,61608000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/5/1997, 0.070833, 0.077083, 0.06875, 0.077083, 0.077083,113448000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/6/1997, 0.075781, 0.085417, 0.075521, 0.082813, 0.082813,156144000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/9/1997, 0.082813, 0.085417, 0.082813, 0.084375, 0.084375,47040000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/10/1997, 0.085417, 0.085417, 0.076563, 0.079167, 0.079167,109176000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/11/1997, 0.079688, 0.080208, 0.076563, 0.077083, 0.077083,23760000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/12/1997, 0.079167, 0.082292, 0.077604, 0.080208, 0.080208,32640000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[6/13/1997, 0.08125, 0.08125, 0.079167, 0.079167, 0.079167,13872000]' on port 9999. Hit CTRL-c to stop."
